145541_50271,0.454,12464.096,44.674
g,0.149,0.976,15.889,0.005952,0.050981,0.034298,a3,68
r,0.150,0.760,15.699,0.003738,0.031201,0.019432,a3,90
i,0.182,0.573,15.636,0.004439,0.017770,0.012075,b2,64
z,0.162,0.703,15.392,0.002609,0.024131,0.015999,a1,60
