148115_29682,0.481,9466.990,38.020
g,0.360,1.487,17.498,0.007199,0.047273,0.041252,a3,95
r,0.352,0.883,17.760,0.006655,0.035597,0.026652,c,82
i,0.416,0.724,17.765,0.007097,0.023059,0.019127,b2,46
z,0.432,0.711,17.691,0.011853,0.049983,0.029776,b2,29
