148626_172,0.601,4092.201,12.709
g,0.454,0.529,18.038,0.002327,0.008057,0.005127,c,129
r,-0.500,0.346,17.877,0.003912,0.009841,0.006044,c,113
i,0.325,0.378,17.719,0.006272,0.017729,0.014961,a2,47
z,-0.500,0.281,17.747,0.028839,0.021374,0.018005,c,36
