191209_50149,0.618,625.159,3.766
g,-0.185,0.749,18.148,0.001951,0.030050,0.021448,b2,39
r,-0.171,0.474,17.962,0.003870,0.018179,0.013192,b3,45
i,-0.168,0.421,17.779,0.003429,0.015515,0.009971,b3,42
z,-0.152,0.362,17.688,0.004171,0.015737,0.010135,b3,43
